layer,rank,expert,macro_reap,reap_analects,reap_bible,reap_bofm,reap_dhamma,reap_gita,reap_quran,reap_tao,reap_upanishads
32,7,126,5.3799,4.872,6.053,6.219,6.1943,5.0563,5.3024,4.8575,4.4845
32,8,96,4.7909,10.3132,6.0815,6.3796,2.0183,8.9389,2.0066,0.3403,2.2491
32,9,104,4.7883,4.1436,5.1191,4.7739,6.1179,4.1203,4.3506,4.1286,5.5522
32,10,108,4.6869,3.366,5.6298,7.5974,3.4233,6.4337,3.871,1.7505,5.4236
32,11,94,4.1945,4.8844,4.3155,2.8305,4.6061,4.2311,4.5825,2.7011,5.4048
32,12,95,3.8442,3.2886,3.7296,6.1717,3.9801,4.3338,3.5906,3.8441,1.8154
32,13,116,3.6914,3.8356,4.1529,5.7233,2.968,4.0969,3.1133,2.0185,3.6229
32,14,90,3.6252,2.9617,3.7009,3.7654,4.7766,3.3592,2.9583,2.9162,4.5634
32,15,74,3.1428,2.2143,2.7694,3.3961,5.3264,3.4601,3.2408,0.6617,4.0733
32,16,112,3.0113,2.7373,2.448,2.9174,3.6549,3.2704,2.9634,2.3384,3.7603
32,17,113,2.9413,5.1867,3.1016,3.2226,2.6189,4.364,2.5627,0.2884,2.1854
32,18,84,2.7507,2.9844,0.3099,2.7897,4.7872,2.9395,2.6824,1.2795,4.2327
32,19,8,2.5206,2.0768,2.8914,2.5274,2.7381,2.4854,2.245,2.7102,2.4909
32,20,0,nan,1.5444,2.1163,nan,1.6735,0.8,nan,1.1448,1.4431
33,1,65,93.1507,2.487,16.8346,123.9476,425.5973,96.9929,18.8662,34.203,26.2771
33,2,200,13.0928,13.5252,13.6563,11.4995,15.2553,12.9424,15.4986,10.2445,12.1206
33,3,137,8.7792,7.0719,7.5449,4.9613,10.7109,10.3777,10.9958,8.899,9.6717
33,4,209,7.7984,6.6116,8.7843,4.5614,8.9955,8.7382,10.7673,5.4262,8.5031
33,5,154,6.9911,6.0311,5.0009,6.6133,8.6263,16.6192,3.5266,1.0711,8.44
33,6,40,6.6882,5.7909,0.1974,5.1013,8.4413,8.7169,7.9036,5.8389,11.5153
33,7,191,6.4493,5.5578,7.8962,4.4123,7.4256,6.2965,6.989,5.9252,7.0919
33,8,177,6.0466,4.748,6.3973,4.453,6.7912,7.141,6.8126,5.529,6.5006
33,9,196,5.6328,6.2191,6.4406,5.0024,5.5462,7.1292,6.3022,0.8186,7.604
33,10,236,5.5072,4.1613,6.839,3.9532,5.7773,5.8862,6.4888,4.6412,6.3106
33,11,188,5.2399,5.3307,7.3142,3.8193,5.8403,5.3077,6.0367,3.5144,4.7562
33,12,223,5.1643,4.3323,5.5958,3.7712,5.8893,5.2337,5.5927,4.7652,6.1347
33,13,171,4.9512,16.6115,2.6045,1.4491,2.2268,2.2078,2.351,9.9152,2.2437
33,14,229,4.9429,4.7453,2.1543,2.9535,6.1572,5.9593,5.9668,4.1485,7.4585
33,15,168,4.7577,4.1647,5.5373,2.929,4.7384,6.038,5.9468,3.8519,4.8556
33,16,175,4.6073,3.7858,5.1454,3.1082,5.0962,5.9341,5.2336,3.6571,4.8981
33,17,238,4.6027,3.1833,5.2116,2.7405,6.1632,5.4501,4.783,4.9967,4.2932
33,18,255,4.4181,2.8949,6.9848,3.3848,4.1365,5.1009,5.1546,3.0881,4.5998
33,19,165,4.4158,3.7973,2.9903,2.1881,5.93,6.7704,3.4585,3.095,7.0967
33,20,189,4.265,3.7057,3.8708,2.1147,4.4808,5.2122,7.7951,3.2756,3.6652
34,1,33,652.2628,2.9819,2.7204,109.3326,4358.1491,444.1284,37.544,260.8952,2.3504
34,2,233,220.1232,89.4819,208.1245,28.5791,312.6395,253.8438,161.885,606.2773,100.1548
34,3,207,11.2604,11.0639,13.4844,11.0475,11.7695,10.1146,10.0229,10.7771,11.803
34,4,171,8.2409,6.9641,17.1474,8.2436,5.2153,7.3933,9.907,6.2332,4.8235
34,5,208,7.4508,8.5055,7.4934,8.2223,7.6288,7.0159,5.4373,6.9947,8.3084
34,6,101,7.2348,9.4535,8.1029,7.8009,7.934,6.0457,6.696,5.0827,6.7627
34,7,47,7.0696,9.6429,5.4377,12.0675,5.4477,6.1475,6.0405,7.325,4.4475
34,8,184,7.0581,7.9508,4.1736,7.2211,6.8075,6.4149,7.1202,7.5367,9.2399
34,9,228,6.7814,8.2409,5.8248,6.3501,6.9573,5.8365,6.5742,7.095,7.3725
34,10,185,6.1272,6.5856,5.4655,6.3371,6.0261,7.5278,4.3853,6.6428,6.0475
34,11,225,5.9776,6.3678,5.7725,7.2621,6.3207,7.0046,4.2757,4.2843,6.5334
34,12,37,5.8197,7.0494,6.0066,5.9646,5.4685,5.0549,4.7114,5.6864,6.6158
34,13,59,5.8078,6.0984,5.2816,6.4489,5.9092,5.1416,3.6884,6.9109,6.9836
34,14,153,5.7659,9.6604,4.8159,4.548,5.2079,7.7381,4.434,5.0758,4.6474
34,15,159,5.7407,6.3991,4.5321,6.0018,6.05,5.4355,4.4564,6.4103,6.6405
34,16,39,5.7123,6.6797,5.8368,5.5895,6.3157,6.1816,4.8987,4.0916,6.1044
34,17,183,5.696,6.5679,4.432,5.8059,6.5692,6.285,4.1157,5.3699,6.4219
34,18,63,5.6808,9.2373,4.8056,3.9298,6.3966,1.3923,4.9558,9.6569,5.0721
34,19,133,5.5716,9.199,3.6406,5.4988,5.0802,6.4403,3.8686,4.2692,6.5758
34,20,196,5.5536,6.4953,4.5554,5.6029,6.3378,5.3321,3.9263,6.5991,5.5796
35,1,254,125.7195,129.6795,181.9952,9.3166,129.4336,68.3586,140.5291,341.6606,4.7825
35,2,81,36.4692,15.7972,17.6513,15.539,44.8431,24.7408,22.691,141.4516,9.0394
35,3,50,6.0025,5.7222,5.7129,5.5277,6.3861,5.2955,5.8276,5.8494,7.6986
35,4,8,3.7891,2.6302,4.7541,3.2559,4.1105,4.5668,3.6321,2.9961,4.3674
35,5,0,nan,2.2499,0.6125,nan,0.4105,1.5052,nan,0.8899,5.5088
35,6,1,nan,2.2712,2.4388,nan,1.6141,1.044,nan,0.6111,1.664
35,7,2,nan,5.7471,4.3514,nan,5.3328,5.0315,nan,5.5797,7.0567
35,8,3,nan,1.7551,0.3249,nan,0.8115,1.1158,nan,0.4435,2.1064
35,9,4,nan,2.1587,1.954,nan,1.6712,1.4138,nan,1.7093,2.5572
35,10,5,nan,2.3372,2.0242,nan,3.1646,2.4637,nan,1.9538,4.7777
35,11,246,13.5462,13.5235,14.0923,13.7411,13.7188,15.5457,15.8928,13.9784,7.877
35,12,117,11.858,10.6136,10.0275,10.5268,11.9458,12.4977,10.5508,11.2589,17.4425
35,13,12,11.2354,8.9079,10.9013,11.1331,18.183,6.3342,7.9025,15.2578,11.2634
35,14,249,9.8625,9.9778,8.0249,8.9146,10.1982,7.126,9.5863,10.4679,14.6044
35,15,160,9.5245,9.3798,8.3031,8.2585,9.0179,9.5733,8.7957,9.9321,12.9358
35,16,71,9.3752,8.0531,5.8382,6.1977,7.675,9.7684,8.8876,10.7231,17.8588
35,17,204,9.3533,9.2738,5.13,7.4892,9.1798,11.7165,10.2809,9.4651,12.2913
35,18,216,9.2221,9.1357,10.3457,9.8132,9.7057,7.6544,8.4405,9.3193,9.3624
35,19,113,8.8223,8.1069,8.3043,8.6973,8.3947,9.0519,8.5556,8.8141,10.6533
35,20,16,7.824,7.995,8.5795,10.7645,7.7291,3.5373,6.8282,6.612,10.5468
36,1,148,12.5932,13.3766,12.4999,10.4725,17.1072,9.2958,13.2938,14.2689,10.4311
36,2,50,8.4871,7.6147,10.4041,8.265,5.3881,7.1149,9.6215,15.5611,3.9273
36,3,53,6.9265,7.8451,10.6194,4.1477,7.5794,10.3773,7.9046,3.986,2.9522
36,4,48,5.6377,7.2363,5.908,5.1638,6.1892,3.8692,5.8244,5.3317,5.5788
36,5,32,4.7063,5.6099,2.77,3.7766,5.1057,3.0016,3.6453,5.5424,8.1992
36,6,49,4.7006,6.5625,5.1695,4.8788,5.4158,3.4689,4.3272,3.5335,4.2484
36,7,38,3.3445,4.5149,3.1185,2.6649,2.7523,3.5892,3.3752,3.0395,3.7012
