text,metric,expert_id,value,freq
gita,gate,180,10.476964659999986,54094.0
gita,gate,189,10.415485719999985,57295.0
gita,gate,10,10.030224620000002,42307.0
gita,gate,228,9.195231009999997,63952.0
gita,gate,132,9.173040470000002,46368.0
gita,gate,211,9.047085350000016,51778.0
gita,gate,65,8.648678530000009,64589.0
gita,gate,26,7.54934441,77349.0
gita,gate,80,7.319193079999999,54007.0
gita,gate,56,7.221173449999999,55529.0
gita,gate,204,6.848548450000001,53777.0
gita,gate,153,6.697313689999998,47451.0
gita,gate,140,5.741510720000005,51827.0
gita,gate,9,5.390398880000004,41055.0
gita,gate,210,5.342058449999996,99675.0
dhamma,reap,104,43.06532542767867,10537.0
dhamma,reap,152,35.19025708818907,7819.0
dhamma,reap,33,32.896626323737486,7216.0
dhamma,reap,29,24.722174835644118,18024.0
dhamma,reap,93,15.913194470737926,23011.0
dhamma,reap,169,14.884198130143478,25304.0
dhamma,reap,160,13.666239363480768,22880.0
dhamma,reap,216,13.285103714252802,10031.0
dhamma,reap,182,11.737078370617859,24714.0
dhamma,reap,148,10.102091994538622,28112.0
dhamma,reap,233,9.956348125112624,9899.0
dhamma,reap,132,8.921988721361878,21250.0
dhamma,reap,246,8.828046354951573,28706.0
dhamma,reap,251,8.501838589471683,23679.0
dhamma,reap,7,8.441881047543248,28908.0
dhamma,reap,249,8.375044163423707,33303.0
dhamma,reap,172,8.241126880674257,28461.0
dhamma,reap,73,8.079414039429766,21763.0
dhamma,reap,118,7.668322782642156,19363.0
dhamma,reap,211,7.3927158328351945,28894.0
dhamma,reap,51,7.38515359002621,31288.0
dhamma,reap,80,7.307175792053175,27377.0
dhamma,reap,154,7.260975331617557,16970.0
dhamma,reap,122,7.256151668434539,17656.0
dhamma,reap,34,7.218046494605574,11523.0
dhamma,reap,26,6.923712815590163,51639.0
dhamma,reap,129,6.576032018321537,15967.0
dhamma,reap,250,6.449102639371052,34184.0
dhamma,reap,140,6.418990751418282,27357.0
dhamma,reap,10,6.338778869951258,20104.0
dhamma,actnorm,104,66.62766182740903,10537.0
dhamma,actnorm,152,66.57077390055885,7819.0
dhamma,actnorm,33,62.85590252261084,7216.0
dhamma,actnorm,160,52.62797461937848,22880.0
dhamma,actnorm,29,46.192379065516526,18024.0
dhamma,actnorm,80,43.49866022964165,27377.0
dhamma,actnorm,73,43.255485664309575,21763.0
dhamma,actnorm,169,42.75318415101132,25304.0
dhamma,actnorm,132,40.106215072975054,21250.0
dhamma,actnorm,233,39.76725390234372,9899.0
dhamma,actnorm,14,38.4535637522555,9457.0
dhamma,actnorm,122,37.06437560359088,17656.0
dhamma,actnorm,148,36.96394478193085,28112.0
dhamma,actnorm,10,36.749248808129224,20104.0
dhamma,actnorm,118,36.718373718211055,19363.0
dhamma,actnorm,249,36.28768901563375,33303.0
dhamma,actnorm,34,35.23527668960251,11523.0
dhamma,actnorm,216,34.53451162606122,10031.0
dhamma,actnorm,93,34.28765420023298,23011.0
dhamma,actnorm,129,33.74187748706893,15967.0
dhamma,actnorm,43,33.621818940284214,23609.0
dhamma,actnorm,246,33.24242271865706,28706.0
dhamma,actnorm,140,32.922454911257844,27357.0
dhamma,actnorm,251,32.346736437480054,23679.0
dhamma,actnorm,99,32.02979248573029,22421.0
dhamma,actnorm,176,31.93632522848056,24456.0
dhamma,actnorm,212,31.73877037757257,13916.0
dhamma,actnorm,101,31.480671180115596,14965.0
dhamma,actnorm,236,31.14567333063898,19579.0
dhamma,actnorm,211,30.787984902421254,28894.0
dhamma,gate,172,25.635021159999997,28461.0
dhamma,gate,182,24.917934499999976,24714.0
dhamma,gate,7,23.947353590000013,28908.0
dhamma,gate,86,22.629673289999992,23975.0
dhamma,gate,51,22.33073309000004,31288.0
dhamma,gate,169,21.923129150000037,25304.0
dhamma,gate,161,17.804343970000005,36531.0
dhamma,gate,250,17.440062410000003,34184.0
dhamma,gate,246,15.429684590000004,28706.0
dhamma,gate,32,14.96183692,29467.0
dhamma,gate,148,14.364475620000004,28112.0
dhamma,gate,160,13.965071939999996,22880.0
dhamma,gate,56,13.704933150000015,39480.0
dhamma,gate,130,13.630621780000018,22618.0
dhamma,gate,210,12.827067840000014,40249.0
dhamma,gate,141,12.552749200000003,24418.0
dhamma,gate,249,12.260456580000017,33303.0
dhamma,gate,19,11.824218219999997,46056.0
dhamma,gate,26,11.193585679999982,51639.0
dhamma,gate,254,11.074068549999998,24243.0
dhamma,gate,251,11.033544289999988,23679.0
dhamma,gate,91,10.509024099999992,25946.0
dhamma,gate,211,10.220861149999994,28894.0
dhamma,gate,65,9.85714312000001,30085.0
dhamma,gate,83,9.57715366,34985.0
dhamma,gate,229,8.917531560000006,26084.0
dhamma,gate,140,8.735865129999993,27357.0
dhamma,gate,207,7.9500841400000155,43868.0
dhamma,gate,153,7.283679540000008,29586.0
dhamma,gate,132,7.277953270000006,21250.0
bofm,reap,160,12.243869457406957,516797.0
bofm,reap,246,10.016001937970449,531712.0
bofm,reap,249,8.146884847801177,650699.0
bofm,reap,122,7.440209834584407,497313.0
bofm,reap,129,7.260830208390491,312566.0
bofm,reap,119,7.1807485567574885,506896.0
bofm,reap,148,6.936448084962256,526113.0
bofm,reap,34,6.6251386559435375,282014.0
bofm,reap,190,6.407170917295966,265418.0
bofm,reap,212,6.261723826619519,408566.0
bofm,reap,82,6.089200182255344,620472.0
bofm,reap,171,5.988940918596399,494766.0
bofm,reap,146,5.958676630605667,363890.0
bofm,reap,63,5.916466683735602,243813.0
bofm,reap,59,5.8073734676978646,361386.0
bofm,reap,202,5.780817770582477,353716.0
bofm,reap,123,5.765357076534539,551533.0
bofm,reap,108,5.658987628391147,193474.0
bofm,reap,231,5.51484792804874,509982.0
bofm,reap,78,5.473059600735243,892357.0
bofm,reap,10,5.3696399479585,397260.0
bofm,reap,101,5.366740057102538,786097.0
bofm,reap,14,5.290405974087525,433528.0
bofm,reap,104,5.159976254387533,337365.0
bofm,reap,93,5.077700821908761,299345.0
bofm,reap,79,5.069206456454501,185249.0
bofm,reap,193,4.993960888191234,274674.0
bofm,reap,32,4.9416504253031714,482515.0
bofm,reap,29,4.935519863358044,366582.0
bofm,reap,211,4.912457609826883,454314.0
bofm,actnorm,160,49.157463873008446,516797.0
bofm,actnorm,132,44.75411373355775,606738.0
bofm,actnorm,99,40.440213422607506,581410.0
bofm,actnorm,140,39.876128150142215,397658.0
bofm,actnorm,249,38.284382901958175,650699.0
bofm,actnorm,63,37.505684757220536,243813.0
bofm,actnorm,80,37.09494128017676,641398.0
bofm,actnorm,122,35.708388430108016,497313.0
bofm,actnorm,119,35.4813767368901,506896.0
bofm,actnorm,118,34.261666899809164,574608.0
bofm,actnorm,129,34.02620492148791,312566.0
bofm,actnorm,212,32.917287752821224,408566.0
bofm,actnorm,10,32.55696845676317,397260.0
bofm,actnorm,34,31.88506005656524,282014.0
bofm,actnorm,146,31.840582931732747,363890.0
bofm,actnorm,246,31.65213279578506,531712.0
bofm,actnorm,51,31.092195869364584,396979.0
bofm,actnorm,89,31.018015508512512,850730.0
bofm,actnorm,14,30.76374301941933,433528.0
bofm,actnorm,54,30.552044481134015,757520.0
bofm,actnorm,149,29.79751817201349,333071.0
bofm,actnorm,148,29.711568304323755,526113.0
bofm,actnorm,79,29.510783163361662,185249.0
bofm,actnorm,236,29.501486208976257,421772.0
bofm,actnorm,59,29.41369393053803,361386.0
bofm,actnorm,155,29.118571570104212,619454.0
bofm,actnorm,171,28.997399499521848,494766.0
bofm,actnorm,190,28.938079877539618,265418.0
bofm,actnorm,85,28.792948447516746,548774.0
bofm,actnorm,101,28.695948561162126,786097.0
bofm,gate,0,,518036.0
bofm,gate,162,,276948.0
bofm,gate,163,,303879.0
bofm,gate,164,,267624.0
bofm,gate,165,,232504.0
bofm,gate,166,,182354.0
bofm,gate,167,,249044.0
bofm,gate,168,,339356.0
bofm,gate,169,,224706.0
bofm,gate,170,,184945.0
bofm,gate,171,,494766.0
bofm,gate,172,,330620.0
bofm,gate,173,,322795.0
bofm,gate,174,,504820.0
bofm,gate,161,,230871.0
bofm,gate,175,,310222.0
bofm,gate,177,,287712.0
bofm,gate,178,,224742.0
bofm,gate,179,,158892.0
